age,diameter,prob,calc,,
75,4.7,0.000403462,0.000403462,,
75,4.8,0.000390447,0.000390447,,
75,4.9,0.000312358,0.000312358,,
75,5,0.000312358,0.000312358,,
75,5.1,0.000247283,0.000247283,,
75,5.2,0.000351402,0.000351402,,
75,5.3,0.000208238,0.000208238,,
75,5.4,0.000130149,0.000130149,,
76,3,0.001080237,0.001080237,,
76,3.1,0.000702805,0.000702805,,
76,3.2,0.001106267,0.001106267,,
76,3.3,0.000871998,0.000871998,,
76,3.4,0.000754864,0.000754864,,
76,3.5,0.000858984,0.000858984,,
76,3.6,0.000924058,0.000924058,,
76,3.7,0.000585671,0.000585671,,
76,3.8,0.000793909,0.000793909,,
76,3.9,0.000650745,0.000650745,,
76,4,0.000572656,0.000572656,,
76,4.1,0.000559641,0.000559641,,
76,4.2,0.000676775,0.000676775,,
76,4.3,0.000598685,0.000598685,,
76,4.4,0.000494566,0.000494566,,
76,4.5,0.000143164,0.000143164,,
76,4.6,0.000312358,0.000312358,,
76,4.7,0.000403462,0.000403462,,
76,4.8,0.000390447,0.000390447,,
76,4.9,0.000312358,0.000312358,,
76,5,0.000312358,0.000312358,,
76,5.1,0.000247283,0.000247283,,
76,5.2,0.000351402,0.000351402,,
76,5.3,0.000208238,0.000208238,,
76,5.4,0.000130149,0.000130149,,
77,3,0.001080237,0.001080237,,
77,3.1,0.000702805,0.000702805,,
77,3.2,0.001106267,0.001106267,,
77,3.3,0.000871998,0.000871998,,
77,3.4,0.000754864,0.000754864,,
77,3.5,0.000858984,0.000858984,,
77,3.6,0.000924058,0.000924058,,
77,3.7,0.000585671,0.000585671,,
77,3.8,0.000793909,0.000793909,,
77,3.9,0.000650745,0.000650745,,
77,4,0.000572656,0.000572656,,
77,4.1,0.000559641,0.000559641,,
77,4.2,0.000676775,0.000676775,,
77,4.3,0.000598685,0.000598685,,
77,4.4,0.000494566,0.000494566,,
77,4.5,0.000143164,0.000143164,,
77,4.6,0.000312358,0.000312358,,
77,4.7,0.000403462,0.000403462,,
77,4.8,0.000390447,0.000390447,,
77,4.9,0.000312358,0.000312358,,
77,5,0.000312358,0.000312358,,
77,5.1,0.000247283,0.000247283,,
77,5.2,0.000351402,0.000351402,,
77,5.3,0.000208238,0.000208238,,
77,5.4,0.000130149,0.000130149,,
78,3,0.001080237,0.001080237,,
78,3.1,0.000702805,0.000702805,,
78,3.2,0.001106267,0.001106267,,
78,3.3,0.000871998,0.000871998,,
78,3.4,0.000754864,0.000754864,,
78,3.5,0.000858984,0.000858984,,
78,3.6,0.000924058,0.000924058,,
78,3.7,0.000585671,0.000585671,,
78,3.8,0.000793909,0.000793909,,
78,3.9,0.000650745,0.000650745,,
78,4,0.000572656,0.000572656,,
78,4.1,0.000559641,0.000559641,,
78,4.2,0.000676775,0.000676775,,
78,4.3,0.000598685,0.000598685,,
78,4.4,0.000494566,0.000494566,,
78,4.5,0.000143164,0.000143164,,
78,4.6,0.000312358,0.000312358,,
78,4.7,0.000403462,0.000403462,,
78,4.8,0.000390447,0.000390447,,
78,4.9,0.000312358,0.000312358,,
78,5,0.000312358,0.000312358,,
78,5.1,0.000247283,0.000247283,,
78,5.2,0.000351402,0.000351402,,
78,5.3,0.000208238,0.000208238,,
78,5.4,0.000130149,0.000130149,,
79,3,0.001080237,0.001080237,,
79,3.1,0.000702805,0.000702805,,
79,3.2,0.001106267,0.001106267,,
79,3.3,0.000871998,0.000871998,,
79,3.4,0.000754864,0.000754864,,
79,3.5,0.000858984,0.000858984,,
79,3.6,0.000924058,0.000924058,,
79,3.7,0.000585671,0.000585671,,
79,3.8,0.000793909,0.000793909,,
79,3.9,0.000650745,0.000650745,,
79,4,0.000572656,0.000572656,,
79,4.1,0.000559641,0.000559641,,
79,4.2,0.000676775,0.000676775,,
79,4.3,0.000598685,0.000598685,,
79,4.4,0.000494566,0.000494566,,
79,4.5,0.000143164,0.000143164,,
79,4.6,0.000312358,0.000312358,,
79,4.7,0.000403462,0.000403462,,
79,4.8,0.000390447,0.000390447,,
79,4.9,0.000312358,0.000312358,,
79,5,0.000312358,0.000312358,,
79,5.1,0.000247283,0.000247283,,
79,5.2,0.000351402,0.000351402,,
79,5.3,0.000208238,0.000208238,,
79,5.4,0.000130149,0.000130149,,
80,3,0.000481551,0.000481551,,
80,3.1,0.000520596,0.000520596,,
80,3.2,0.000754864,0.000754864,,
